бермудские острова	l21546
пассау	c28754
линдау	c22276
кемптен	c28756
ашаффенбург	c32142
байройт	c28753
мюльдорф-на-инне	c35909
бамберг	c35907
ингольштадт	c22278
регенсбург	c22279
розенхайм	c38534
швайнфурт	c38535
вайден	c38537
ландсхут	c38538
деггендорф	c38539
кауфбойрен	c38557
ансбах	c38558
гармиш-партенкирхен	c28118
ной-ульм	c28135
вюрцбург	c28136
мемминген	c26946
мюнхен	c99
аугсбург	c22283
зенден	c40628
нюрнберг	c10412
эрланген	c40424
хоф	c28558
донаувёрт	c38549
нижняя саксония	r21778
тоштедт	c39280
зальцгиттер	c40383
вольфенбюттель	c40387
файхинген-на-энце	c40586
фридланд	c32181
вольфсбург	c28764
люнебург	c38608
целле	c38627
клоппенбург	c38621
ганновер	c10405
берген	c21083
лерте	c40391
бад-пирмонт	c35959
дельменхорст	c40399
ольденбург	c28761
брауншвейг	c29572
лер	c28765
ильцен	c38611
вильгельмсхафен	c38610
норден	c38619
аурих	c40401
эмден	c40400
гёттинген	c28127
хильдесхайм	c28124
оснабрюк	c28125
свободное государство тюрингия	r21791
арнштадт	c40648
айзенах	c38664
зуль	c38661
гера	c28123
йена	c32164
веймар	c21361
заальфельд	c35977
эрфурт	c26602
свободное государство саксония	r21790
гёрлиц	c32149
хемниц	c32183
цвиккау	c35964
лейпциг	c10410
дрезден	c10407
рейнланд-пфальц	r21780
цвайбрюккен	c38658
майнц	c28766
кобленц	c28767
трир	c28768
кайзерслаутерн	c28769
виттлих	c38657
людвигсхафен-на-рейне	c28770
ландау	c38655
андернах	c40598
ингельхайм-ам-райн	c40604
пирмазенс	c40600
саар	r21781
саарлуис	c40616
саарбрюккен	c22262
мерциг	c40614
нойнкирхен	c40615
хомбург	c38678
палау	l21589
гваделупа	l21564
сомали	l21227
гайана	l21477
маврикий	l21241
остров рождества (австралия)	l21627
французская гвиана	l21451
антарктида	l21626
джибути	l21475
мальдивы	l10098
атолл гнавийани	r23422
фувамула	c39799
монголия	l10099
аймак сэлэнгэ	r23396
сухэ-батор	c64478
аймак баян-улгий	r23385
улгий	c26855
аймак булган	r23386
булган	c37681
аймак увс	r23398
улаангом	c21101
аймак орхон	r23395
эрдэнэт	c28387
аймак говь-алтай	r23387
алтай	c20842
аймак завхан	r23393
улиастай	c36729
аймак дорнод	r23391
чойбалсан	c10609
аймак баянхонгор	r23404
баянхонгор	c21053
аймак умнеговь	r23403
даланзадгад	c21447
аймак хувсгел	r23400
мурэн	c36728
ховд	r22818
ховд	c10608
булган	c40134
сан-марино	l20790
индонезия	l10095
провинция северная суматра	r22899
медан	c10577
сиболга	c21022
провинция острова риау	r22898
танджунгпинанг	c26839
провинция западная ява	r22891
бандунг	c26825
столичный округ джакарта	r22890
джакарта	c10574
провинция западная суматра	r22897
паданг	c10578
провинция восточная ява	r22896
сурабая	c21085
джембер	c34699
маланг	c28407
провинция западные малые зондские острова	r22894
матарам	c26823
провинция западное папуа	r22916
маноквари	c29125
каймана	c29122
факфак	c29129
соронг	c28415
провинция папуа	r22917
джаяпура	c26829
набире	c28410
вамена	c28402
мерауке	c29148
биак	c28399
провинция малуку	r22914
амбон	c20853
намлеа	c21318
провинция северное малуку	r22915
тернате	c26836
провинция горонтало	r22912
горонтало	c26837
провинция западный сулавеси	r22913
мамуджу	c29140
провинция южный сулавеси	r22910
уджунгпанданг	c29147
бали	r10572
денпасар	c11513
провинция восточный калимантан	r22906
самаринда	c20775
баликпапан	c21000
провинция бенкулу	r22888
бенкулу	c26835
провинция лампунг	r22889
бандар-лампунг	c26831
провинция ачех	r22885
сабанг	c10579
такенгон	c70250
банда-ачех	c21009
провинция джамби	r22887
джамби	c26833
батам	r21048
батам	c24394
провинция центральный сулавеси	r22909
лувук	c29137
палу	c26834
толитоли	c41386
провинция северный сулавеси	r22908
манадо	c28408
особый округ джокьякарта	r22892
джокьякарта	c26821
провинция южный калимантан	r22905
котабару	c29135
банджармасин	c26824
провинция центральный калимантан	r22904
пангкаланбун	c36370
палангкарая	c36355
провинция северный калимантан	r22907
таракан	c10582
танджунгселор	c40824
нунукан	c29130
провинция юго-восточный сулавеси	r22911
кендари	c26832
баубау	c37032
провинция южная суматра	r22901
палембанг	c26822
лубуклинггау	c73114
лахат	c70249
провинция центральная ява	r22900
семаранг	c10581
суракарта	c26826
провинция западный калимантан	r22903
понтианак	c26828
кетапанг	c10575
синтанг	c21029
путуссибо	c29131
провинция восточные малые зондские острова	r22902
вайнгапу	c28401
бима	c28400
энде	c28417
маумере	c28409
купанг	c26830
баджава	c29133
лабуан-баджо	c29136
мозамбик	l21235
малайзия	l10097
штат тренгану	r22927
кертех	c29480
куала-тренгану	c26854
штат перлис	r22925
кангар	c43900
штат перак	r22924
пангкор	c32704
ипох	c29479
штат паханг	r22923
гентинг-хигхланд	c65272
куантан	c20879
тиоман	c29568
штат негри-сембилан	r22922
серембан	c37675
штат джохор	r22921
джохор-бару	c26852
штат малакка	r22920
малакка	c10602
сабах	r22675
лахад-дату	c29467
сандакан	c29463
тавау	c29464
кота-кинабалу	c28383
кудат	c20880
саравак	r22674
мири	c29461
бинтулу	c29465
лавас	c29469
барио	c29471
муках	c29470
кучинг	c28384
сибу	c21024
штат кедах	r22918
сунгай петани	c37677
алор-сетар	c29462
ленгкави	c28624
штат келантан	r22919
кота-бару	c26853
штат пинанг	r22930
джорджтаун	c43902
афганистан	l10090
бангладеш	l10091
область читтагонг	r23460
кокс-базар	c20801
область рангпур	r23458
рангпур	c10528
область силхет	r23459
силхет	c10529
область барисал	r23454
барисал	c21036
область дакка	r23455
дакка	c10530
область кхулна	r23456
кхулна	c20805
вьетнам	l10093
провинция биньдинь	r23551
куинён	c20881
провинция биньтхуан	r23553
фантхьет	c20920
провинция виньлонг	r23555
виньлонг	c65416
провинция даклак	r23557
буонметхуот	c26810
провинция ламдонг	r23573
далат	c21448
провинция кханьхоа	r23572
нячанг	c40246
провинция куангчи	r23571
донгха	c65424
провинция намдинь	r23577
намдинь	c21317
провинция лаокай	r23575
лаокай	c21082
сапа	c20969
провинция лангшон	r23574
лангсон	c10546
провинция кьензянг	r23600
фукуок	c29542
ратьзя	c32126
провинция фуйен	r23595
туихоа	c29539
провинция хатинь	r23591
хатинь	c65433
провинция хаузянг	r23592
витхань	c40196
провинция куангнам	r23568
хойан	c20904
тамки	c29541
провинция куангнгай	r23569
куангнгай	c65423
провинция камау	r23564
камау	c21430
провинция бариа-вунгтау	r23549
вунгтау	c37596
кондао	c29544
провинция дьенбьен	r23561
дьенбьенфу	c29543
провинция зялай	r23562
плейку	c29536
провинция йенбай	r23563
йенбай	c65421
провинция тханьхоа	r23584
тханххоа	c10550
провинция тхыатхьен-хюэ	r23585
хюэ	c20905
провинция тхайбинь	r23582
тхайбинь	c65427
провинция хайзыонг	r23589
хайзыонг	c65431
сирия	l10542
мухафаза алеппо	r23470
алеппо	c22166
мухафаза хомс	r23476
пальмира	c21343
столичная мухафаза	r23481
дамаск	c11512
мухафаза латакия	r23468
латакия	c21122
чад	l21331
саудовская аравия	l10540
округ эр-рияд	r23038
вади-эд-давасир	c37165
эр-рияд	c23360
давадми	c37154
округ эль-касим	r23039
бурайда	c26857
округ табук	r23042
ваджх	c37160
табук	c36607
округ хаиль	r23043
хаиль	c37156
округ джизан	r23045
джизан	c36749
округ эль-худуд-эш-шамалия	r23044
рафха	c36183
арар	c37153
округ мекка	r23036
джидда	c22250
таиф	c33020
округ медина	r23037
янбу	c29403
медина	c28361
округ асир	r23041
абха	c29385
биша	c37162
округ эш-шаркия	r23040
эль-хуфуф	c26858
даммам	c26930
округ наджран	r23046
шарура	c37164
куба	l10017
вилья-клара	r22690
санта-клара	c28985
исландия	l10064
нордюрланд-эйстра	r22573
акурейри	c28294
вестфирдир	r22571
исафьердюр	c39998
хёвюдборгарсвайдид	r22568
рейкьявик	c10428
маршалловы острова	l21578
филиппины	l10108
провинция котабато	r23369
котабато	c26864
провинция западный мисамис	r23362
озамис	c36853
провинция восточный негрос	r23348
думагете	c36879
провинция себу	r23349
себу	c26861
провинция илоило	r23345
илоило	c36854
провинция западный негрос	r23347
кауаян	c36877
баколод	c36847
провинция южный камаринес	r23340
нага	c36851
провинция палаван	r23341
пуэрто-принцеса	c36842
провинция аклан	r23342
калибо	c36845
провинция бенгет	r23309
багио	c37778
провинция южная замбоанга	r23358
замбоанга	c36848
пагадиан	c36838
провинция нуэва-эсиха	r23324
сан-хосе	c10631
провинция бохоль	r23305
тагбиларан	c36857
столичный регион	r23306
манила	c10629
провинция аурора	r23321
балер	c40931
провинция пампанга	r23288
анджелес	c37777
провинция исабела	r23317
провинция северный самар	r23354
катарман	c21387
провинция южный давао	r23367
давао	c10626
провинция южный котабато	r23371
генерал-сантос	c36856
провинция батанес	r23316
баско	c36974
провинция северный агусан	r23373
бутуан	c36171
провинция северный илокос	r23314
лаоаг	c36855
провинция северный суригао	r23374
суригао	c36844
провинция ифугао	r23311
лагаве	c64593
провинция сулу	r23379
холо	c36850
провинция лейте	r23352
таклобан	c26863
провинция северная замбоанга	r23357
диполог	c36880
провинция кагаян	r23318
тугегарао	c36839
провинция албай	r23335
легаспи	c36852
провинция ромблон	r23334
таблас	c36973
провинция масбате	r23337
масбате	c36840
провинция катандуанес	r23336
вирак	c36881
провинция южный илокос	r23315
виган	c10625
гвинея-бисау	l21143
шри-ланка	l10109
западная провинция	r22564
коломбо	c10633
северо-центральная провинция	r23449
анурадхапура	c20858
восточная провинция	r23448
трикомали	c37792
центральная провинция	r23447
нувара-элия	c36677
канди	c28388
южная провинция	r23452
диквелла	c39074
коггала	c36676
галле	c10632
сен-пьер и микелон (франция)	l21633
дания	l203
северная ютландия	r22477
фредериксхавн	c34566
ольборг	c26702
южная дания	r22479
хадерслев	c34568
сённерборг	c37443
биллунн	c26922
вайле	c31738
оденсе	c28252
столичная область	r22053
копенгаген	c10425
центральная ютландия	r22478
раннерс	c34567
орхус	c26705
хернинг	c37438
хорсенс	c37435
каруп	c32701
зеландия	r21925
эквадор	l20785
провинция санта-элена	r23190
салинас	c28959
провинция галапагос	r23180
пуэрто-бакерисо-морено	c36801
провинция гуаяс	r23181
гуаякиль	c21432
провинция пичинча	r23195
кито	c20786
провинция напо	r23187
тена	c41604
провинция эсмеральдас	r23179
эсмеральдас	c36800
провинция лоха	r23183
лоха	c36799
провинция котопахи	r23177
латакунга	c36797
провинция карчи	r23175
тулкан	c36798
провинция асуай	r23172
куэнка	c28651
провинция морона-сантьяго	r23186
макас	c36803
острова кука	l21574
латвия	l206
алсунгский край	r22591
алсунга	c32532
балдонский край	r22596
балдоне	c32537
илукстский край	r22614
илуксте	c32564
рижский район	r22008
сигулда	c28162
салдусский район	r22009
салдус	c29857
мадонский район	r22004
огрский район	r22005
огре	c29860
прейльский район	r22006
прейли	c28155
ливаны	c28153
резекненский район	r22007
резекне	c28156
кулдигский район	r22000
кулдига	c29858
лиепайский район	r22001
лиепая	c11473
лимбажский район	r22002
лимбажи	c29859
лудзенский район	r22003
лудза	c28154
зилупский край	r22672
зилупе	c32558
вилянский край	r22671
виляны	c32557
вилякский край	r22670
виляка	c32556
алитусский уезд	r22013
цесисский район	r22012
цесис	c28157
тукумсский район	r22011
тукумс	c32133
саласпилс	c29861
талсинский район	r22010
талси	c28159
вандзене	c39812
лайдзе	c39813
эргльский край	r22608
эргли	c32611
гаркалнский край	r22609
цесвайнский край	r22602
цесвайне	c32608
буртниекский край	r22600
ренцены	c39814
елгавский район	r21998
элея	c39806
елгава	c28160
дурбский край	r22606
энгурский край	r22607
дагдский край	r22604
дагда	c32542
дундагский край	r22605
дундага	c32543
руцавский край	r22648
карсавский край	r22619
карсава	c32565
кандавский край	r22618
кандава	c32577
беверинский край	r22598
броценский край	r22599
броцены	c32540
апский край	r22592
апе	c32533
ауцский край	r22593
ауце	c32534
алойский край	r22590
алоя	c32531
икшкильский край	r22612
икшкиле	c32548
яунелгавский край	r22615
яунелгава	c32612
балтинавский край	r22597
балтинава	c32538
адажский край	r22594
адажи	c32535
яунпиебалгский край	r22616
яунпиебалга	c32613
кегумсский край	r22624
кегумс	c32578
кекавский край	r22625
лиелвардский край	r22626
лиелварде	c32583
лигатненский край	r22627
лигатне	c32566
кокнесский край	r22621
кокнесе	c32580
крустпилсский край	r22623
ливанский край	r22628
лубанский край	r22629
лубана	c32584
акнистский край	r22589
айзпутский край	r22588
айзпуте	c32529
аматский край	r22587
аглонский край	r22586
аглона	c32528
балвский район	r21989
балви	c28150
мазсалацский край	r22633
мазсалаца	c32568
малпилсский край	r22631
малпилс	c32549
мадонский край	r22630
мадона	c32567
ницский край	r22637
ница	c32571
неретский край	r22636
наукшенский край	r22635
наукшены	c32570
мерсрагский край	r22634
мерсрагс	c32569
олайнский край	r22638
айзкраукльский район	r21987
айзкраукле	c29853
алуксненский район	r21988
алуксне	c28161
ройский край	r22646
роя	c32595
раунский край	r22644
рауна	c32593
плявиньский край	r22642
плявиняс	c32590
приекульский край	r22643
приекуле	c32591
краславский район	r21999
краслава	c28152
павилостский край	r22641
павилоста	c32588
екабпилсский район	r21997
екабпилс	c29856
добельский район	r21996
добеле	c29855
даугавпилсский район	r21995
гулбенский район	r21994
гулбене	c28853
литене	c39804
вентспилсский район	r21993
вентспилс	c28151
валкский район	r21992
валка	c28164
валмиерский район	r21991
валмиера	c28163
бауский район	r21990
цоде	c39803
межотне	c39802
бауска	c29854
саулкрастский край	r22655
саулкрасты	c32602
саласпилсский край	r22654
сигулдский край	r22657
руйиенский край	r22651
руйиена	c32598
салацгривский край	r22652
салацгрива	c32601
скрундский край	r22659
скрунда	c32604
скриверский край	r22658
скривери	c32603
смилтенский край	r22660
смилтене	c32605
стренчский край	r22662
стренчи	c32607
вайнёдский край	r22664
вайнёде	c32550
вараклянский край	r22665
варакляны	c32551
вецпиебалгский край	r22667
дзербене	c39811
вецпиебалга	c32553
вецумниекский край	r22668
вецумниеки	c32554
виеситский край	r22669
виесите	c32555
иецавский край	r22611
иецава	c32547
гробиньский край	r22610
гробиня	c32546
инчукалнсский край	r22613
инчукалнс	c32576
кыргызстан	l207
ошская область	r22092
ош	c10310
нарынская область	r22091
нарын	c28107
иссык-кульская область	r22090
чолпон-ата	c28111
каракол	c28106
балыкчи	c10311
чуйская область	r22094
кара-балта	c37422
баткенская область	r22088
исфана	c23354
баткен	c22223
джалал-абадская область	r22089
казарман	c23365
джалал-абад	c10312
испания	l204
астурия	r21889
астуриас	c22286
овьедо	c28201
арагон	r21888
сарагоса	c20946
мурсия	r21898
мурсия	c26605
картахена	c10433
лорка	c36000
мелилья (испания)	r21604
мелилья	c24397
балеарские острова	r21616
ибица	c22252
менорка	c26678
пальма-де-майорка	c22237
канарские острова	r21618
санта-крус-де-ла-пальма	c26686
фуэртевентура	c22288
лансароте	c22287
вальверде	c29236
лас-пальмас-де-гран-канария	c22280
алахеро	c29237
тенерифе	c10441
страна басков	r21890
сан-себастьян	c28650
бильбао	c22275
витория	c28666
ирун	c28202
валенсия	r21891
валенсия	c10430
кастельон-де-ла-плана	c32187
аликанте	c20835
бенидорм	c21075
каталония	r21896
реус	c23394
лерида	c29532
барселона	c10429
салоу	c32910
жирона	c26490
ллорет де мар	c32907
таррагона	c32174
мадрид	r21897
мадрид	c10435
андалусия	r21887
марбелья	c10438
малага	c10437
севилья	c10440
херес-де-ла-фронтера	c26691
эль-пуэрто-де-санта-мария	c28992
альмерия	c26676
мотриль	c28198
торремолинос	c32904
гранада	c26924
уэльва	c32902
кадис	c32900
хаэн	c35991
кордова	c20836
кастилия и леон	r21895
саламанка	c28665
вальядолид	c28664
самора	c32893
леон	c28663
бургос	c26871
сеговия	c35994
авила	c38679
паленсия	c39824
сория	c65181
сеута (испания)	r21603
сеута	c24396
галисия	r21892
сантьяго-де-компостела	c26685
оренсе	c32896
виго	c22314
луго	c35995
понтеведра	c36588
ла корунья	c21057
наварра	r21899
памплона	c28649
кастилия-ла-манча	r21894
сьюдад-реаль	c26669
толедо	c29904
гвадалахара	c10431
альбасете	c28660
куэнка	c32906
кантабрия	r21893
сантандер	c28662
риоха	r21900
логроньо	c28659
эстремадура	r21901
касерес	c32895
бадахос	c28661
мерида	c29906
италия	l205
тоскана	r21917
ареццо	c38497
сиена	c28211
каррара	c38499
флоренция	c10461
гроссето	c26491
пиза	c10458
эльба	c32703
сицилия	r21916
сигонелла	c39273
трапани	c28598
лампедуса	c26677
пантеллерия	c26682
таормина	c41855
палермо	c10456
мессина	c35864
катания	c21390
комизо	c40063
сардиния	r21915
кальяри	c10453
альгеро	c26666
ольбия	c21404
пьемонт	r21914
алессандрия	c32140
новара	c28223
кунео	c37306
стреза	c38487
асти	c38486
турин	c10449
умбрия	r21919
терни	c32176
фолиньо	c35870
перуджа	c28222
марке	r21912
пезаро	c32167
сан-бенедетто-дель-тронто	c32172
анкона	c23373
фано	c35856
ломбардия	r21911
бергамо	c21077
брешиа	c28220
галларате	c39758
вогера	c35854
павия	c38483
мантуя	c38484
милан	c10448
лигурия	r21910
сан-ремо	c10460
генуя	c10447
савона	c38482
специя	c35852
альбенга	c35853
кампания	r21908
неаполь	c10446
капри	c10454
беневенто	c35846
салерно	c28215
трентино - альто-адидже	r21918
больцано	c35872
тренто	c29903
калабрия	r21907
кротоне	c28596
козенца	c39361
реджо-ди-калабрия	c28425
ламеция-терме	c23364
лацио	r21909
витербо	c33217
латина	c35849
рим	c10445
кассино	c38480
чивитавеккья	c35850
венето	r21906
тревизо	c28219
кортина-д'ампеццо	c20866
ровиго	c38471
виченца	c39360
венеция	c10451
верона	c22240
падуя	c32166
молизе	r21913
термоли	c32175
абруццо	r21902
васто	c32147
ланчано	c28218
пескара	c23381
апулия	r21903
чериньола	c38469
андрия	c32141
лечче	c35839
таранто	c28214
фоджа	c32180
бриндизи	c10450
бари	c21035
альтамура	c35840
сан-северо	c32173
вьесте	c36967
сан-домино	c36966
базиликата	r21904
матера	c39359
потенца	c29900
валле-д’аоста	r21905
аоста	c28208
фриули-венеция-джулия	r21920
триест	c21020
авиано	c39559
удине	c32177
эмилия-романья	r21921
реджо-эмилия	c32525
парма	c26888
пьяченца	c38501
модена	c32193
форли	c23357
болонья	c10444
равенна	c32169
чезена	c32186
феррара	c32179
римини	c10459
майотта	l21576
молдова	l208
норфолк	r21636
сынжерейский район	r21829
сынжерея	c29670
рышканский район	r21828
рышканы	c28085
новоаненский район	r21805
новые анены	c29665
бричанский район	r21807
липканы	c28084
бричаны	c28072
бессарабский район	r21806
бессарабка	c28080
леовский район	r21823
леова	c29668
кагульский район	r21808
кагул	c28090
хынчештский район	r21821
хынчешты	c29667
глодянский район	r21820
глодяны	c29677
резинский район	r21827
оргеевский район	r21826
орхей	c28073
окницкий район	r21825
окница	c28081
отачь	c28847
ниспоренский район	r21824
левобережье днестра	r22086
рыбница	c10316
дубоссары	c28075
бендеры	c10315
днестровск	c28088
слободзея	c29546
григориополь	c28086
гагаузия	r22087
чадыр-лунга	c28074
комрат	c28069
вулканешты	c28071
молдова	r21630
кишинёв	c10313
кантемирский район	r21809
кантемир	c32131
приднестровская республика	r21619
тирасполь	c10317
каменка	c28738
фалештский район	r21818
фалешты	c28852
чимишлийский район	r21812
чимишлия	c28078
криулянский район	r21813
криуляны	c29666
каларашский район	r21810
калараш	c28083
каушанский район	r21811
каушаны	c29674
дубоссарский район	r21816
единецкий район	r21817
купчинь	c39537
единец	c28076
дондюшанский район	r21814
дондюшаны	c28077
дрокиевский район	r21815
дрокия	c28710
тараклийский район	r21834
тараклия	c28082
теленештский район	r21835
теленешты	c29672
унгенский район	r21836
унгены	c28087
корнешты	c28091
флорештский район	r21819
флорешты	c28070
сорокский район	r21830
сороки	c21078
страшенский район	r21831
страшены	c28851
шолданештский район	r21832
шолданешты	c29671
штефан-водский район	r21833
штефан-водэ	c29673
яловенский район	r21822
яловены	c28089
таджикистан	l209
хатлонская область	r22176
куляб	c22245
бохтар	c10319
горно-бадахшанская автономная область	r22177
хорог	c22188
согдийская область	r22175
худжанд	c10322
кирибати	l21572
западная сахара	l20789
каймановы острова	l21570
нигер	l21339
гибралтар	l10089
андорра	l10088
судан	l20957
хорватия	l10083
вировитицко-подравская жупания	r22551
вировитица	c31800
дубровницко-неретванская жупания	r22560
дубровник	c10506
шибенско-книнская жупания	r22556
шибеник	c31803
приморско-горанская жупания	r22549
риека	c26684
опатия	c28288
сплитско-далматинская жупания	r22558
сплит	c10508
бол	c29495
истрийская жупания	r22559
пула	c21245
карловацкая жупания	r22545
карловац	c31795
вуковарско-сремская жупания	r22557
вуковар	c31804
задарская жупания	r22554
задар	c22282
осиецко-бараньская жупания	r22555
осиек	c29494
копривницко-крижевацкая жупания	r22547
копривница	c31797
лицко-сеньская жупания	r22550
загребская жупания	r22542
загреб	c10507
зимбабве	l20954
кот-д'ивуар	l20733
катар	l21486
эд-доха	r23820
доха	c21487
малави	l21151
гондурас	l21175
перу	l21156
кахамарка	r22425
кахамарка	c36648
укаяли	r22444
пукальпа	c36021
сан-мартин	r22440
тарапото	c34408
пуно	r22441
хулиака	c28657
такна	r22442
такна	c28655
тумбес	r22443
тумбес	c39950
пьюра	r22439
пьюра	c28656
талара	c37296
уануко	r22429
уануко	c37206
лорето	r22435
икитос	c26786
куско	r22427
куско	c26784
мадре-де-дьос	r22436
пуэрто-мальдонадо	c28658
апуримак	r22422
андауайлас	c37207
арекипа	r22423
арекипа	c26785
ламбаеке	r22433
чиклайо	c26787
ла-либертад	r22432
трухильо	c27995
лаос	l20972
беларусь	l149
гомельская область	r21625
октябрьский	c26955
костюковка	c39281
озаричи	c39283
копаткевичи	c39282
горивода	c39621
корма	c26954
ведрич	c39620
паричи	c39177
василевичи	c23320
ельск	c23323
добруш	c23322
жлобин	c23325
житковичи	c23324
лоев	c23327
калинковичи	c23326
петриков	c23329
наровля	c23328
комарин	c73122
брагин	c24751
лельчицы	c24750
гомель	c155
светлогорск	c23332
туров	c23333
речица	c23330
рогачев	c23331
горваль	c39623
буда-кошелево	c23319
хойники	c23334
чечерск	c23335
ветка	c23321
бобовичи	c39374
прибор	c39377
старые терешковичи	c39376
мозырь	c21274
новые луки	c39522
красный берег	c39523
береговая слобода	c39622
могилёвская область	r21624
дрибин	c26963
кировск	c26964
краснополье	c26965
скачок	c39208
осиповичи	c23249
бель	c39532
кличев	c24753
славгород	c24752
белыничи	c24755
мстиславль	c24754
круглое	c26966
хотимск	c26967
чериков	c26968
могилёв	c158
глуск	c26564
костюковичи	c23318
бобруйск	c20729
чаусы	c23314
климовичи	c23315
кричев	c23316
быхов	c23317
шклов	c23312
горки	c23313
гродненская область	r21627
свислочь	c23347
ошмяны	c23346
островец	c23345
новогрудок	c23344
мосты	c23343
кореличи	c23342
ивье	c23341
зельва	c23340
гродно	c10274
сморгонь	c23349
слоним	c23348
пограничный	c39246
лида	c21144
юратишки	c39248
красносельский	c26960
скидель	c26961
берёзовка	c26962
желудок	c39296
большая берестовица	c39235
малая берестовица	c39236
волковыск	c23337
вороново	c23338
дятлово	c23339
порозово	c39256
индура	c39255
щучин	c23350
сопоцкин	c39370
острына	c39210
новоельня	c39258
радунь	c39278
рыбница	c65252
мир	c39184
витебская область	r21626
дубровно	c26956
лынтупы	c24746
дисна	c26562
сенно	c24744
докшицы	c24745
ветрино	c28711
браслав	c24748
бешенковичи	c26563
новолукомль	c26959
россоны	c26958
парафьяново	c39343
полоцк	c10275
орша	c10276
ушачи	c24747
верхнедвинск	c23268
езерище	c23269
новый погост	c39306
ржавка	c39207
друя	c23267
толочин	c23282
освея	c39363
богушевск	c23280
лиозно	c23281
витебск	c154
глубокое	c23277
поставы	c23276
шумилино	c23275
городок	c23274
оболь	c23273
новополоцк	c23272
боровуха	c23271
шарковщина	c23270
чашники	c23279
лепель	c23278
алёща	c39379
бобыничи	c39378
фролковичи	c39211
сураж	c39365
домжерицы	c40280
миоры	c21271
бабиничи	c39309
видзы	c39183
бегомль	c39186
брестская область	r21623
чернавчицы	c85079
микашевичи	c23309
малорита	c23308
каменец	c23303
ивацевичи	c23302
иваново	c23301
жабинка	c23300
ляховичи	c23307
лунинец	c23306
коссово	c23305
кобрин	c23304
антополь	c39209
ружаны	c39247
мерчицы	c39619
брест	c153
пружаны	c23310
пинск	c21510
столин	c23311
каменюки	c39257
барановичи	c21015
дрогичин	c23298
телеханы	c39182
белоозерск	c23293
логишин	c39181
высокое	c23295
берёза	c23294
давид-городок	c23297
ганцевичи	c23296
минская область	r21622
логойск	c24742
копыль	c26951
березино	c26950
червень	c26953
узда	c26952
вишнево	c39249
кривичи	c40791
плещеницы	c24760
мядель	c24761
смиловичи	c24762
раков	c39175
боровляны	c39245
гайна	c39301
будслав	c39304
столбцы	c23260
дзержинск	c23261
клецк	c23262
крупки	c23263
вилейка	c23264
заславль	c23265
фаниполь	c23266
шеверничи	c39206
руденск	c23288
городея	c23289
олехновичи	c39533
бобовня	c39300
минск	c157
радошковичи	c24757
любань	c24756
нарочь	c24759
воложин	c24758
першай	c39279
погост	c39234
куренец	c39271
долгиново	c39272
солигорск	c23259
марьина горка	c23258
уречье	c39250
шищицы	c39251
борисов	c23255
молодечно	c23254
смолевичи	c23257
жодино	c23256
слуцк	c23251
несвиж	c23253
старые дороги	c23252
ивенец	c39308
колодищи	c39525
тимковичи	c39180
зембин	c39185
камбоджа	l20975
сен-мартен	l21642
бруней	l20274
мексика	l20271
коауила	r22242
сальтильо	c29608
торреон	c28646
колима	r22243
мансанильо	c21254
колима	c29619
кинтана-роо	r22241
четумал	c33220
канкун	c21420
наярит	r22247
тепик	c29242
мичоакан	r22245
ласаро-карденас	c29623
уруапан	c36605
морелия	c29610
федеральный округ	r22264
мехико	c20272
нижняя калифорния	r22248
тихуана	c28620
сан-фелипе	c41422
мехикали	c27990
южная нижняя калифорния	r22249
ла-пас	c28911
сан-хосе-дель-кабо	c28618
халиско	r22260
гвадалахара	c21515
пуэрто-вальярта	c21302
чиуауа	r22261
чиуауа	c20849
сьюдад-хуарес	c28644
чьяпас	r22262
тапачула	c29836
паленке	c40285
тустла-гутьеррес	c29609
юкатан	r22263
мерида	c28561
оахака	r22251
пуэрто-эскондидо	c29625
санта-мария-уатулько	c29604
гуанахуато	r22236
леон	c28559
сакатекас	r22253
лорето	c29240
сакатекас	c29838
веракрус	r22234
поса-рика	c29624
веракрус	c29141
синалоа	r22255
лос-мочис	c29241
кульякан	c28645
масатлан	c28617
сан-луис-потоси	r22254
сан-луис-потоси	c29607
табаско	r22257
вильяэрмоса	c28562
халапа	c29622
сонора	r22256
гуаймас	c29239
сьюдад-обрегон	c29238
эрмосильо	c27989
пуэрто-пеньяско	c39560
тамаулипас	r22258
тампико	c28560
нуэво-ларедо	c29835
рейноса	c29776
сьюдад-виктория	c29621
кампече	r22239
сьюдад-дель-кармен	c29603
дуранго	r22237
дуранго	c29611
нуэво-леон	r22250
монтеррей	c21293
герреро	r22235
икстапа	c29594
акапулько	c20800
агуаскальентес	r22233
агуаскальентес	c29601
барбадос	l21019
сент-майкл	r23696
бриджтаун	c21086
кипр	l20574
район ларнака	r22447
ларнака	c10421
район фамагуста	r22450
фамагуста	c31716
район пафос	r22449
пафос	c21242
район никосия	r22445
никосия	c20575
австралия	l211
норфолк	r21636
норфолк-айленд	c28933
западная австралия	r21637
олбани	c35825
перт	c22305
эсперанс	c38454
соломон	c43770
джералдтон	c38459
ньюман	c21753
порт-хедленд	c29222
калгурли-боулдер	c29220
эксмаут	c29221
аргайл	c29208
брум	c29209
рэвенсторп	c37258
басселлтон	c37257
каррата	c32617
онслоу	c39823
дерби	c28882
форрест	c29033
манки-миа	c29213
кунунарра	c29212
карнарвон	c29211
калбарри	c29210
параберду	c29214
кокосовые острова	r10029
коконат-айленд	c28901
